Unnamed: 0,combine_year,POS,HEIGHT,WEIGHT,BMI,BODY.FAT,STANDING.REACH,WINGSPAN,HAND.LENGTH,HAND.WIDTH,STANDING.VERTICAL,MAX.VERTICAL,LANE.AGILITY,SHUTTLE.RUN,THREE.QUARTER.SPRINT,BENCH.PRESS,WINGSPAN.HEIGHT.RATIO,STANDING.TOUCH,MAX.TOUCH,Name,above_max_vert_mean
321,2017,SG/SF,77.5,193.4,22.64,4.0,105.5,85.0,8.75,9.5,31.5,36.0,11.25,3.23,3.36,5.0,1.097,137.0,141.5,Wesley Iwundu,1
322,2017,PG,74.0,201.6,25.88,6.7,98.0,79.5,8.25,9.0,34.5,42.0,10.94,2.7,3.14,9.0,1.074,132.5,140.0,Frank Jackson,1
326,2017,SG/SF,80.0,222.6,24.45,9.4,107.5,84.25,8.5,9.5,27.0,34.0,10.72,2.98,3.25,12.0,1.053,134.5,141.5,Kyle Kuzma,0
327,2017,PF,80.75,222.2,23.96,6.8,107.0,83.0,8.5,9.5,29.0,34.5,11.55,3.27,3.27,6.0,1.028,136.0,141.5,TJ Leaf,0
328,2017,PF,80.25,215.0,23.47,13.6,107.5,84.0,8.75,8.8,29.5,33.5,11.68,2.81,3.46,1.0,1.047,137.0,141.0,Tyler Lydon,0
329,2017,PG,71.0,188.8,26.33,4.3,94.0,75.25,8.0,9.3,34.0,41.0,11.41,3.09,3.18,15.0,1.06,128.0,135.0,Frank Mason III,1
330,2017,C,80.75,276.6,29.82,11.5,106.0,85.0,8.75,8.8,28.0,30.5,12.91,3.35,3.5,15.0,1.053,134.0,136.5,Kennedy Meeks,0
331,2017,SG,73.25,211.4,27.7,5.9,97.0,82.0,8.5,9.5,36.5,40.5,11.53,3.07,3.01,10.0,1.119,133.5,137.5,Donovan Mitchell,1
332,2017,PG,73.25,175.2,22.95,6.9,96.5,76.0,8.25,8.8,28.0,33.5,11.0,3.2,3.19,8.0,1.038,124.5,130.0,Monte Morris,0
334,2017,SG/SF,78.5,219.6,25.05,11.4,100.0,77.0,8.0,9.3,27.0,33.0,12.4,3.25,3.53,8.0,0.981,127.0,133.0,Svi Mykhailiuk,0
335,2017,SG/SF,77.25,241.4,28.44,5.5,102.0,81.75,8.75,9.5,35.0,40.5,10.58,3.07,3.16,19.0,1.058,137.0,142.5,Semi Ojeleye,1
336,2017,PF,79.0,238.6,26.88,7.7,106.5,85.25,9.5,10.3,28.0,39.5,12.17,3.31,3.16,5.0,1.079,134.5,146.0,Cameron Oliver,1
339,2017,PF,80.75,219.6,23.68,6.8,109.0,85.5,8.75,9.0,28.5,32.5,12.68,3.23,3.35,3.0,1.059,137.5,141.5,Ivan Rabb,0
340,2017,SG/SF,76.5,206.2,24.77,6.5,102.0,84.0,9.25,9.5,28.5,36.0,11.37,3.21,3.34,12.0,1.098,130.5,138.0,Davon Reed,1
341,2017,SF,79.0,189.6,21.36,3.2,106.0,84.75,9.25,10.3,35.5,41.5,12.85,3.61,3.23,10.0,1.073,141.5,147.5,Devin Robinson,1
342,2017,PG,75.25,166.2,20.63,5.0,99.0,78.0,8.5,9.5,30.5,38.5,11.15,2.98,3.18,3.0,1.037,129.5,137.5,Kobi Simmons,1
345,2017,SG/SF,75.5,211.6,26.1,7.8,103.0,82.0,8.75,8.8,27.0,30.5,11.48,3.03,3.36,15.0,1.086,130.0,133.5,Sindarius Thornwell,0
346,2017,PG,73.25,195.2,25.58,10.6,95.5,74.0,8.0,8.8,24.5,32.0,10.75,2.92,3.27,6.0,1.01,120.0,127.5,Melo Trimble,0
347,2017,PG,71.0,188.6,26.3,5.8,95.0,74.5,8.0,8.5,26.0,32.5,11.28,3.12,3.29,9.0,1.049,121.0,127.5,Derrick Walton Jr.,0
