"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","combine_year","POS","HEIGHT","WEIGHT","BMI","BODY.FAT","STANDING.REACH","WINGSPAN","HAND.LENGTH","HAND.WIDTH","STANDING.VERTICAL","MAX.VERTICAL","LANE.AGILITY","SHUTTLE.RUN","THREE.QUARTER.SPRINT","BENCH.PRESS","WINGSPAN.HEIGHT.RATIO","STANDING.TOUCH","MAX.TOUCH"
"32",2009,"Eddie House","BOS","PG",0,81,765.6,1031,173.6,390.3,31,40.4,68.3,153.3,31,105.2,237,30.9,29.3,36.9,55.2,5.3,101.8,109.4,0.5,5.6,3.1,64.1,42.5,3.4,38.3,78.8,481.6,406.6,41.3,10.9,5,1.1,0.2,4.2,14.1,0,0,0,2000,"PG/SG",71.75,176.5,24.1,NA,95,75.5,NA,NA,29.5,38.5,11.12,NA,3.27,5,1.052,124.5,133.5
"33",2009,"Darius Songaila","WAS","PF",0,77,748.2,1060,169.4,318.5,37.1,37.1,169.4,317.8,37.2,0,0.5,0,55.8,62.7,62,52.3,105.9,158.2,2.7,5.9,4.3,65.5,44.6,13.9,51.6,139.4,394.5,346.1,39.7,6.8,5,1.1,0.5,6.3,11.9,0,0,0,2002,"PF",80,240,26.36,NA,108.5,85,NA,NA,24.5,29.5,11.69,NA,3.52,8,1.063,133,138
"34",2009,"Pops Mensah-Bonsu","TOR","PF",0,22,185.8,197,27.2,71.8,26.4,26.4,27.2,70.4,26.9,0,1,0,23,33.5,48,38.3,40.4,78.8,16.4,16.8,16.6,2.9,4.9,2.4,13.2,30,77.4,86.5,31.2,10.5,1.6,0.9,0.6,6.4,17.2,0,0,0,2006,"PF/C",79.5,232,25.81,5.8,105.5,84,NA,NA,31.5,36,11.47,NA,3.29,19,1.057,137,141.5
"35",2009,"Charlie Bell","MIL","SF",0,70,705.6,1242,151.2,365.2,28.9,34.6,90.6,197.9,31.9,60.6,167.3,25.2,46,55.8,57.5,22.3,71.1,93.4,1,3.4,2.2,105.2,34.8,3.4,53,96.2,409.1,389.8,36.6,5,6.4,0.7,0.2,5.8,11.2,0,0,0,2001,"PG",74.5,200,25.33,6.7,97.5,79.5,NA,NA,31.5,38,10.59,NA,3.12,15,1.067,129,135.5
"36",2009,"Rodney Carney","MIN","SF",0,67,541,835,122.7,294.8,29,35.6,67.6,137.3,34.3,55.1,157.5,24.4,34.8,46,52.8,25.1,62.7,87.8,1.6,4.4,3,18.1,31.4,20.2,30,65.5,335.3,315.1,37.1,6,1.7,1,0.9,4.2,13.1,0,0,0,2006,"SG/SF",76.5,204,24.51,5.3,103.5,82,NA,NA,32,38.5,10.57,NA,3.06,10,1.072,135.5,142
"37",2009,"Jarron Collins","UTA","C",0,26,64.1,140,11.2,24.4,31.9,31.9,11.2,24.4,31.9,0,0,0,3.9,5.3,50.7,13.9,11.8,25.8,5.8,4.9,5.3,3.4,1,0.5,4.4,24.4,27.9,27.8,34.8,3.1,2.4,0.2,0.2,12.8,5.3,0,0,0,2001,"PF/C",81.25,252,26.84,15.2,104,87,NA,NA,23,29,11.65,NA,3.6,10,1.071,127,133
"38",2009,"Al Thornton","LAC","PF",0,71,1325.8,1850,326.9,732.5,31.1,31.8,313,677.5,32.2,13.9,55.1,17.6,164.5,218.2,52.6,85,171.5,256.5,1.5,4,2.6,71.8,41.1,43.2,90.6,158.2,832.2,828.5,35,6.3,2.9,0.4,0.4,4.8,15.3,0,0.5,0,2007,"SF",77.75,221,25.7,5.8,104,85,NA,NA,35,41,11.96,NA,3.16,9,1.093,139,145
"39",2009,"Joey Graham","TOR","SF",0,78,724.5,1073,161,334.6,33.5,33.7,158.9,323.4,34.2,1.5,11.2,13.1,92,111.5,57.5,66.2,137.3,203.5,3.6,10.4,5.4,33.5,24.4,5.8,51.6,133.1,416.1,383.6,37.8,6.1,2.4,0.6,0.3,5.8,13.1,0,0.5,0,2005,"SF",77.25,216.6,25.52,NA,104,80,NA,NA,30,36,10.62,NA,3.05,26,1.036,134,140
"40",2009,"Antoine Wright","DAL","SF",0,65,588.8,1082,124.8,300.4,28.9,32.7,93.4,196.6,33.1,31.4,103.9,21,49.5,66.2,52.1,21.6,73.2,94.8,1.1,3.7,2.4,53.7,32.1,18.8,37.6,119.9,330.4,329.5,34.9,4.3,3.6,0.8,0.6,5,10.9,0,0,0,2005,"SG/SF",77.25,202.6,23.87,NA,104.5,80.75,NA,NA,26.5,29.5,11.45,NA,3.41,12,1.045,131,134
"41",2009,"Malik Allen","MIL","PF",0,49,244,403,50.9,118.5,29.9,29.9,50.9,117.8,30.1,0,0.5,0,4.9,14.6,33.2,24.4,47.4,71.8,3.3,10.1,5.1,24.4,3.4,5.8,13.9,62,108.7,124.9,30.4,3.8,4.6,0.3,0.8,4.9,10.8,0,0,0,2000,"PF/C",80.25,271,29.58,NA,109,86.5,NA,NA,25.5,29,11.83,NA,3.38,13,1.078,134.5,138
